date,time,workday,weather,686-2,9000001092-2
2019-03-01,0.0,1,bad,,
2019-03-01,1.0,1,bad,,
2019-03-01,2.0,1,bad,,
2019-03-01,3.0,1,bad,,
2019-03-01,4.0,1,bad,,
2019-03-01,5.0,1,bad,,
2019-03-01,6.0,1,bad,,
2019-03-01,7.0,1,bad,,
2019-03-01,8.0,1,bad,,
2019-03-01,9.0,1,bad,,
2019-03-01,10.0,1,bad,,
2019-03-01,11.0,1,bad,,
2019-03-01,12.0,1,bad,,
2019-03-01,13.0,1,bad,,
2019-03-01,14.0,1,bad,,
2019-03-01,15.0,1,bad,,
2019-03-01,16.0,1,bad,,
2019-03-01,17.0,1,bad,,
2019-03-01,18.0,1,bad,,
2019-03-01,19.0,1,bad,,
2019-03-01,20.0,1,bad,,
2019-03-01,21.0,1,bad,,
2019-03-01,22.0,1,bad,,
2019-03-01,23.0,1,bad,,
2019-03-02,0.0,0,good,,
2019-03-02,1.0,0,good,,
2019-03-02,2.0,0,good,,
2019-03-02,3.0,0,good,,
2019-03-02,4.0,0,good,,
2019-03-02,5.0,0,good,,
2019-03-02,6.0,0,good,,
2019-03-02,7.0,0,good,,
2019-03-02,8.0,0,good,,
2019-03-02,9.0,0,good,,
2019-03-02,10.0,0,good,,
2019-03-02,11.0,0,good,,
2019-03-02,12.0,0,good,,
2019-03-02,13.0,0,good,,
2019-03-02,14.0,0,good,,
2019-03-02,15.0,0,good,,
2019-03-02,16.0,0,good,,
2019-03-02,17.0,0,good,,
2019-03-02,18.0,0,good,,
2019-03-02,19.0,0,good,,
2019-03-02,20.0,0,good,,
2019-03-02,21.0,0,good,,
2019-03-02,22.0,0,good,,
2019-03-02,23.0,0,good,,
2019-03-03,0.0,0,good,,
2019-03-03,1.0,0,good,,
2019-03-03,2.0,0,good,,
2019-03-03,3.0,0,good,,
2019-03-03,4.0,0,good,,
2019-03-03,5.0,0,good,,
2019-03-03,6.0,0,good,,
2019-03-03,7.0,0,good,,
2019-03-03,8.0,0,good,,
2019-03-03,9.0,0,good,,
2019-03-03,10.0,0,good,,
2019-03-03,11.0,0,good,,
2019-03-03,12.0,0,good,,
2019-03-03,13.0,0,good,,
2019-03-03,14.0,0,good,,
2019-03-03,15.0,0,good,,
2019-03-03,16.0,0,good,,
2019-03-03,17.0,0,good,,
2019-03-03,18.0,0,good,,
2019-03-03,19.0,0,good,,
2019-03-03,20.0,0,good,,
2019-03-03,21.0,0,good,,
2019-03-03,22.0,0,good,,
2019-03-03,23.0,0,good,,
2019-03-04,0.0,1,bad,,
2019-03-04,1.0,1,bad,,
2019-03-04,2.0,1,bad,,
2019-03-04,3.0,1,bad,,
2019-03-04,4.0,1,bad,,
2019-03-04,5.0,1,bad,,
2019-03-04,6.0,1,bad,,
2019-03-04,7.0,1,bad,,
2019-03-04,8.0,1,bad,,
2019-03-04,9.0,1,bad,,
2019-03-04,10.0,1,bad,,
2019-03-04,11.0,1,bad,,
2019-03-04,12.0,1,bad,,
2019-03-04,13.0,1,bad,,
2019-03-04,14.0,1,bad,,
2019-03-04,17.0,1,bad,,
2019-03-04,18.0,1,bad,,
2019-03-04,19.0,1,bad,,
2019-03-04,20.0,1,bad,,
2019-03-04,21.0,1,bad,,
2019-03-04,22.0,1,bad,,
2019-03-04,23.0,1,bad,,
2019-03-05,0.0,1,good,,
2019-03-05,1.0,1,good,,
2019-03-05,2.0,1,good,,
2019-03-05,3.0,1,good,,
2019-03-05,4.0,1,good,,
2019-03-05,5.0,1,good,,
2019-03-05,6.0,1,good,,
2019-03-05,7.0,1,good,,
2019-03-05,8.0,1,good,,
2019-03-05,9.0,1,good,,
2019-03-05,10.0,1,good,,
2019-03-05,11.0,1,good,,
2019-03-05,12.0,1,good,,
2019-03-05,13.0,1,good,,
2019-03-05,14.0,1,good,,
2019-03-05,17.0,1,good,,
2019-03-05,18.0,1,good,,
2019-03-05,19.0,1,good,,
2019-03-05,20.0,1,good,,
2019-03-05,21.0,1,good,,
2019-03-05,22.0,1,good,,
2019-03-05,23.0,1,good,,
2019-03-06,0.0,1,good,,
2019-03-06,1.0,1,good,,
2019-03-06,2.0,1,good,,
2019-03-06,3.0,1,good,,
2019-03-06,4.0,1,good,,
2019-03-06,5.0,1,good,,
2019-03-06,6.0,1,good,,
2019-03-06,7.0,1,good,,
2019-03-06,8.0,1,good,,
2019-03-06,9.0,1,good,,
2019-03-06,10.0,1,good,,
2019-03-06,11.0,1,good,,
2019-03-06,12.0,1,good,,
2019-03-06,13.0,1,good,,
2019-03-06,14.0,1,good,,
2019-03-06,17.0,1,good,,
2019-03-06,18.0,1,good,,
2019-03-06,19.0,1,good,,
2019-03-06,20.0,1,good,,
2019-03-06,21.0,1,good,,
2019-03-06,22.0,1,good,,
2019-03-06,23.0,1,good,,
2019-03-07,0.0,1,good,,
2019-03-07,1.0,1,good,,
2019-03-07,2.0,1,good,,
2019-03-07,3.0,1,good,,
2019-03-07,4.0,1,good,,
2019-03-07,5.0,1,good,,
2019-03-07,6.0,1,good,,
2019-03-07,7.0,1,good,,
2019-03-07,8.0,1,good,,
2019-03-07,9.0,1,good,,
2019-03-07,10.0,1,good,,
2019-03-07,11.0,1,good,,
2019-03-07,12.0,1,good,,
2019-03-07,13.0,1,good,,
2019-03-07,14.0,1,good,,
2019-03-07,16.0,1,good,,
2019-03-07,17.0,1,good,,
2019-03-07,18.0,1,good,,
2019-03-07,19.0,1,good,,
2019-03-07,20.0,1,good,,
2019-03-07,21.0,1,good,,
2019-03-07,22.0,1,good,,
2019-03-07,23.0,1,good,,
2019-03-08,0.0,1,good,,
2019-03-08,1.0,1,good,,
2019-03-08,2.0,1,good,,
2019-03-08,3.0,1,good,,
2019-03-08,4.0,1,good,,
2019-03-08,5.0,1,good,,
2019-03-08,6.0,1,good,,
2019-03-08,7.0,1,good,,
2019-03-08,8.0,1,good,,
2019-03-08,9.0,1,good,,
2019-03-08,10.0,1,good,,
2019-03-08,11.0,1,good,,
2019-03-08,12.0,1,good,,
2019-03-08,13.0,1,good,,
2019-03-08,14.0,1,good,,
2019-03-08,16.0,1,good,,
2019-03-08,17.0,1,good,,
2019-03-08,18.0,1,good,,
2019-03-08,19.0,1,good,,
2019-03-08,20.0,1,good,,
2019-03-08,21.0,1,good,,
2019-03-08,22.0,1,good,,
2019-03-08,23.0,1,good,,
2019-03-09,0.0,0,good,,
2019-03-09,1.0,0,good,,
2019-03-09,2.0,0,good,,
2019-03-09,3.0,0,good,,
2019-03-09,4.0,0,good,,
2019-03-09,5.0,0,good,,
2019-03-09,6.0,0,good,,
2019-03-09,7.0,0,good,,
2019-03-09,8.0,0,good,,
2019-03-09,9.0,0,good,,
2019-03-09,10.0,0,good,,
2019-03-09,11.0,0,good,,
2019-03-09,12.0,0,good,,
2019-03-09,13.0,0,good,,
2019-03-09,14.0,0,good,,
2019-03-09,15.0,0,good,,
2019-03-09,16.0,0,good,,
2019-03-09,17.0,0,good,,
2019-03-09,18.0,0,good,,
2019-03-09,19.0,0,good,,
2019-03-09,20.0,0,good,,
2019-03-09,21.0,0,good,,
2019-03-09,22.0,0,good,,
2019-03-09,23.0,0,good,,
2019-03-10,0.0,0,good,,
2019-03-10,1.0,0,good,,
2019-03-10,2.0,0,good,,
2019-03-10,3.0,0,good,,
2019-03-10,4.0,0,good,,
2019-03-10,5.0,0,good,,
2019-03-10,6.0,0,good,,
2019-03-10,7.0,0,good,,
2019-03-10,8.0,0,good,,
2019-03-10,9.0,0,good,,
2019-03-10,10.0,0,good,,
2019-03-10,11.0,0,good,,
2019-03-10,12.0,0,good,,
2019-03-10,13.0,0,good,,
2019-03-10,14.0,0,good,,
2019-03-10,15.0,0,good,,
2019-03-10,16.0,0,good,,
2019-03-10,17.0,0,good,,
2019-03-10,18.0,0,good,,
2019-03-10,19.0,0,good,,
2019-03-10,20.0,0,good,,
2019-03-10,21.0,0,good,,
2019-03-10,22.0,0,good,,
2019-03-10,23.0,0,good,,
2019-03-11,0.0,1,bad,,
2019-03-11,1.0,1,bad,,
2019-03-11,2.0,1,bad,,
2019-03-11,3.0,1,bad,,
2019-03-11,4.0,1,bad,,
2019-03-11,5.0,1,bad,,
2019-03-11,6.0,1,bad,,
2019-03-11,7.0,1,bad,,
2019-03-11,8.0,1,bad,,
2019-03-11,9.0,1,bad,,
2019-03-11,10.0,1,bad,,
2019-03-11,11.0,1,bad,,
2019-03-11,12.0,1,bad,,
2019-03-11,13.0,1,bad,,
2019-03-11,14.0,1,bad,,
2019-03-11,17.0,1,bad,,
2019-03-11,18.0,1,bad,,
2019-03-11,19.0,1,bad,,
2019-03-11,20.0,1,bad,,
2019-03-11,21.0,1,bad,,
2019-03-11,22.0,1,bad,,
2019-03-11,23.0,1,bad,,
2019-03-12,0.0,1,good,,
2019-03-12,1.0,1,good,,
2019-03-12,2.0,1,good,,
2019-03-12,3.0,1,good,,
2019-03-12,4.0,1,good,,
2019-03-12,5.0,1,good,,
2019-03-12,6.0,1,good,,
2019-03-12,7.0,1,good,,
2019-03-12,8.0,1,good,,
2019-03-12,9.0,1,good,,
2019-03-12,10.0,1,good,,
2019-03-12,11.0,1,good,,
2019-03-12,12.0,1,good,,
2019-03-12,13.0,1,good,,
2019-03-12,14.0,1,good,,
2019-03-12,17.0,1,good,,
2019-03-12,18.0,1,good,,
2019-03-12,19.0,1,good,,
2019-03-12,20.0,1,good,,
2019-03-12,21.0,1,good,,
2019-03-12,22.0,1,good,,
2019-03-12,23.0,1,good,,
2019-03-13,0.0,1,bad,,
2019-03-13,1.0,1,bad,,
2019-03-13,2.0,1,bad,,
2019-03-13,3.0,1,bad,,
2019-03-13,4.0,1,bad,,
2019-03-13,5.0,1,bad,,
2019-03-13,6.0,1,bad,,
2019-03-13,7.0,1,bad,,
2019-03-13,8.0,1,bad,,
2019-03-13,9.0,1,bad,,
2019-03-13,10.0,1,bad,,
2019-03-13,11.0,1,bad,,
2019-03-13,12.0,1,bad,,
2019-03-13,13.0,1,bad,,
2019-03-13,14.0,1,bad,,
2019-03-13,17.0,1,bad,,
2019-03-13,18.0,1,bad,,
2019-03-13,19.0,1,bad,,
2019-03-13,20.0,1,bad,,
2019-03-13,21.0,1,bad,,
2019-03-13,22.0,1,bad,,
2019-03-13,23.0,1,bad,,
2019-03-14,0.0,1,good,,
2019-03-14,1.0,1,good,,
2019-03-14,2.0,1,good,,
2019-03-14,3.0,1,good,,
2019-03-14,4.0,1,good,,
2019-03-14,5.0,1,good,,
2019-03-14,6.0,1,good,,
2019-03-14,7.0,1,good,,
2019-03-14,8.0,1,good,,
2019-03-14,9.0,1,good,,
2019-03-14,10.0,1,good,,
2019-03-14,11.0,1,good,,
2019-03-14,12.0,1,good,,
2019-03-14,13.0,1,good,,
2019-03-14,14.0,1,good,,
2019-03-14,17.0,1,good,,
2019-03-14,18.0,1,good,,
2019-03-14,19.0,1,good,,
2019-03-14,20.0,1,good,,
2019-03-14,21.0,1,good,,
2019-03-14,22.0,1,good,,
2019-03-14,23.0,1,good,,
2019-03-15,0.0,1,good,,
2019-03-15,1.0,1,good,,
2019-03-15,2.0,1,good,,
2019-03-15,3.0,1,good,,
2019-03-15,4.0,1,good,,
2019-03-15,5.0,1,good,,
2019-03-15,6.0,1,good,,
2019-03-15,7.0,1,good,,
2019-03-15,8.0,1,good,,
2019-03-15,9.0,1,good,,
